name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Regret by Andy Milonakis,1,0.11,4.76,1.0,1,1.0,16,21.0
Northern Guilds - Guild of Thor,8,0.88,0.32,0.04,32,1.28,2971,9999.0
TIMEPiece Minting Passes,43,4.74,0.42,0.01,52,0.52,10774,12405.0
Lazy Lions Bungalows,13,1.43,0.17,0.04,17,0.68,4566,10262.0
The Pirates NFT,1,0.11,0.03,0.01,1,0.01,1020,4000.0
TIMEPieces Build a Better Future: Genesis Drop,22,2.43,1.2,0.24,56,13.44,2877,4676.0
Knights of Degen - Knights!,12,1.32,0.54,0.45,48,21.6,2605,8861.0
Cyber Factory 2,95,10.47,2120.0,0.7,106,74.19999999999999,9445,5.0
10KTF,34,3.75,2.11,0.24,387,92.88,4514,18377.0
Stage Names For Rappers,1,0.11,0.24,0.02,1,0.02,177,420.0
Sushiverse,6,0.66,0.21,0.01,21,0.21,3783,10000.0
EtherTulips,3,0.33,0.41,0.02,12,0.24,767,2928.0
Fast Food Frens Collection,4,0.44,0.07,0.04,4,0.16,1927,5555.0
Chads NFT,3,0.33,0.06,0.01,6,0.06,2353,10000.0
SpiroFlakes by Alexander Reben,5,0.55,0.59,0.04,6,0.24,749,1024.0
Mighty Dinos,2,0.22,0.19,0.0009,4,0.0036,518,2057.0
Niftyriots,1,0.11,0.02,0.0,1,0.0,1625,5532.0
Krazy Koalas NFT,8,0.88,0.24,0.01,24,0.24,3851,9999.0
CyberKongz VX,29,3.2,0.43,1.74,63,109.62,3937,14816.0
Lost Souls Sanctuary,5,0.55,0.28,0.04,28,1.12,1928,9998.0
Generativemasks,32,3.53,0.97,0.05,97,4.8500000000000005,3451,9999.0
X Ape,1,0.11,0.83,0.04,1,0.04,18,121.0
Bored Pixel Cats,4,0.44,0.37,0.0,17,0.0,1623,4568.0
Lazy Lions,21,2.32,0.28,1.32,28,36.96,5101,10079.0
Sirens of the Sea NFT,3,0.33,0.26,0.02,7,0.14,1199,2695.0
Galaxy Fight Club,8,0.88,0.22,0.48,22,10.559999999999999,2621,10129.0
Campfire Bear Club,2,0.22,0.86,0.0,7,0.0,355,814.0
Qubits On The Ice,6,0.66,0.36,0.0,36,0.0,2446,9999.0
Bones & Bananas,16,1.76,0.22,0.0,22,0.0,6877,10000.0
The First Mint DAY ONE,2,0.22,0.36,0.14,2,0.28,435,550.0
Forgotten Runes Wizards Cult,36,3.97,1.37,1.75,129,225.75,2822,9408.0
Bored Bananas,3,0.33,0.25,0.03,10,0.3,1846,4027.0
SushiSwag,2,0.22,44.44,0.08,4,0.32,307,9.0
The CryptoPoops,4,0.44,0.44,0.04,6,0.24,384,1374.0
Parallel Alpha,50,5.51,114.18,0.0,604,0.0,42973,529.0
Holo Things,2,0.22,21.28,0.24,10,2.4,194,47.0
CryptoSpinners,3,0.33,0.8,0.49,8,3.92,86,998.0
Nicole Buffett - Spirit Coins - Collection,3,0.33,10.34,1.95,6,11.7,42,58.0
Pepe Toys,1,0.11,33.33,0.11,3,0.33,33,9.0
Harako Dolls,1,0.11,3.45,0.06,1,0.06,155,29.0
Crypto Sushis,1,0.11,4.88,0.89,2,1.78,40,41.0
Erto,1,0.11,2.44,0.06,1,0.06,139,41.0
Meme Ltd.,11,1.21,9.37,0.01,49,0.49,8246,523.0
MLB Champions,8,0.88,0.38,0.0048,947,4.545599999999999,2600,249111.0
Wavelength by Kaleb Johnston,13,1.43,1.89,1.1,21,23.1,708,1111.0
Bored Ape Chemistry Club,22,2.43,833.33,18.3,25,457.5,1093,3.0
Bored Ape Kennel Club,56,6.17,1.06,5.66,102,577.32,5418,9602.0
Bored Ape Yacht Club,83,9.15,1.2,74.69,120,8962.8,6355,10000.0
Antonym: GENESIS,9,0.99,0.17,0.59,15,8.85,5588,8888.0
Lives of Kevin,2,0.22,0.72,0.01,8,0.08,644,1111.0
Pepe Universe (Gen 1),2,0.22,0.17,0.01,4,0.04,981,2293.0
Tales Of Tsuki Genesis,5,0.55,0.07,0.03,7,0.21,5922,10000.0
CatBlox Genesis Collection,10,1.1,0.13,0.33,13,4.29,5173,9999.0
Cereal Club,20,2.21,0.85,0.08,85,6.8,4373,9955.0
Quirkies Originals,6,0.66,0.6,0.9,30,27.0,2374,5000.0
Boss Beauties Collabs,7,0.77,233.33,0.02,7,0.14,3446,3.0
888 Inner Circle - Yellow Realm,6,0.66,0.31,0.03,10,0.3,1766,3204.0
888 Inner Circle - Orange Realm,8,0.88,0.52,0.03,12,0.36,1369,2292.0
0xAzuki,4,0.44,0.26,0.02,26,0.52,4073,9999.0
BFF Friendship Bracelets,65,7.17,1.01,0.78,75,58.5,6584,7393.0
V3 Punks,6,0.66,0.23,0.02,23,0.46,2111,9999.0
Farm Land by Pixels,5,0.55,0.16,0.59,8,4.72,2422,5000.0
METADOMEZ OFFICIAL,2,0.22,0.73,0.0,9,0.0,313,1237.0
Cheeky Chimps Club NFT,3,0.33,1.2,0.06,24,1.44,504,2007.0
CryptoSis by Lana Rhoades,1,0.11,0.02,0.01,1,0.01,3200,6069.0
FULL SEND METACARD NFT,12,1.32,0.28,0.97,28,27.16,7250,9998.0
Creepz Invasion Pass,14,1.54,1400.0,0.18,14,2.52,3553,1.0
Lil Pudgys,12,1.32,0.3,0.03,58,1.74,6477,19038.0
Star Flower by Ruben Alexander,14,1.54,3.0,0.04,30,1.2,673,1000.0
Panelscape 🅰🅱 by Paolo Tonon,12,1.32,3.62,0.12,19,2.28,353,525.0
Party Grandpa | Retirement Club,2,0.22,0.03,0.02,2,0.04,2686,6000.0
Cosmic Labs,9,0.99,0.14,0.07,13,0.9100000000000001,3471,9000.0
Ninjalerts Lifetime License,13,1.43,1300.0,0.19,13,2.47,1010,1.0
Women and Weapons,25,2.76,1.0,0.27,100,27.0,5722,10000.0
KingFrogs,32,3.53,1.18,0.05,186,9.3,5628,15809.0
BabyBoomerNFT,1,0.11,0.05,0.0,1,0.0,812,2167.0
BattleRoyaleMintPass,1,0.11,3.33,0.0,1,0.0,30,30.0
Doge Battle,2,0.22,0.23,0.0,16,0.0,1460,6969.0
BLU Blox,11,1.21,0.22,0.01,22,0.22,3748,10000.0
NFYE OFFICIAL,1,0.11,0.54,0.02,10,0.2,725,1860.0
HypeHippo.io,5,0.55,0.18,0.0,18,0.0,3779,10000.0
Crypto Pills by Micha Klein,6,0.66,0.21,0.08,21,1.68,2227,10000.0
8 BIT UNIVERSE,8,0.88,2.19,0.0,195,0.0,3455,8887.0
Popular Punks,1,0.11,1.04,0.009,9,0.08099999999999999,84,863.0
Koala Intelligence Agency,13,1.43,0.55,0.1,55,5.5,5062,10000.0
CHIBI DINOS,6,0.66,0.45,0.13,45,5.8500000000000005,3244,10000.0
SpacePunksClub,5,0.55,0.15,0.06,15,0.8999999999999999,4388,9995.0
