name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Nifty Island: Legendary Pistols,8,0.88,0.53,0.11,19,2.09,1910,3616.0
Babylon Prophets,4,0.44,0.15,0.03,4,0.12,1795,2592.0
Birthblock,7,0.77,0.62,0.06,7,0.42,1127,1134.0
StrangeAttractors,8,0.88,4.18,0.13,22,2.8600000000000003,293,526.0
The Panels,6,0.66,3.22,0.02,11,0.22,230,342.0
Beacon Book Series,5,0.55,1.68,0.05,23,1.1500000000000001,664,1365.0
Cryptoblots by Daïm Aggott-Hönsch,17,1.87,1.61,0.25,31,7.75,804,1921.0
Genesis by DCA,13,1.43,4.49,2.4,23,55.199999999999996,281,512.0
EIP-1559 Supporter Series,6,0.66,0.38,0.16,6,0.96,1351,1559.0
Eponym by ART AI,22,2.43,1.07,0.09,107,9.629999999999999,2918,9993.0
Kinesis Art - Atlanta3D,3,0.33,0.74,0.002,4,0.008,284,540.0
Museum The White Room,6,0.66,0.83,0.01,40,0.4,2402,4801.0
Redlion Studios,3,0.33,0.42,0.01,7,0.07,497,1661.0
Democracity by Generative Artworks,12,1.32,6.54,0.12,67,8.04,604,1024.0
Kinesis Art,15,1.65,0.74,0.0,38,0.0,1991,5164.0
Maggie West,1,0.11,0.73,0.49,1,0.49,7,137.0
ai-seascape,1,0.11,0.2,0.13,1,0.13,16,500.0
EulerBeats Wearables,3,0.33,300.0,0.1,3,0.30000000000000004,220,1.0
Nifty Island: Ultra Blades,7,0.77,600.0,0.7,12,8.399999999999999,234,2.0
Ollie Emoji,1,0.11,5.0,0.01,2,0.02,4,40.0
Singularity by Hideki Tsukamoto,22,2.43,4.3,2.99,44,131.56,400,1024.0
Mallows BYOA,3,0.33,0.15,0.03,4,0.12,478,2679.0
Nifty Island: Legendary Palms,10,1.1,166.67,1.9,10,19.0,568,6.0
WavesOnChain,9,0.99,1.66,0.13,17,2.21,425,1024.0
Mirror Editions V4,7,0.77,1.07,0.3,11,3.3,840,1026.0
Ryan Bates Editions,1,0.11,100.0,1.0,1,1.0,24,1.0
Async Music,7,0.77,2.91,0.07,26,1.8200000000000003,967,892.0
Dave Pollot,2,0.22,0.28,1.0,2,2.0,42,712.0
The White Stripes x The Glitch Mob x Strangeloop Studios - Seven Nation Army Remix Collection,1,0.11,0.2,0.18,1,0.18,96,512.0
TYCHO,1,0.11,0.25,0.45,1,0.45,58,407.0
Framergence by Arihz,11,1.21,3.24,0.95,25,23.75,267,772.0
The Pixel Portraits OG Collection,6,0.66,2.39,0.23,24,5.5200000000000005,541,1004.0
EulerBeats Genesis,13,1.43,85.19,1.0,46,46.0,443,54.0
Bryan Brinkman,3,0.33,1.14,0.42,4,1.68,69,350.0
seen.haus,2,0.22,1.08,0.02,2,0.04,463,185.0
Made Up Museum,1,0.11,12.5,0.0,1,0.0,8,8.0
MajorArt,1,0.11,4.0,0.05,1,0.05,51,25.0
John Guydo,1,0.11,0.07,0.02,1,0.02,113,1411.0
trevorjonesart,4,0.44,0.09,0.49,4,1.96,556,4244.0
Colorglyphs,10,1.1,4.42,2.0,23,46.0,154,520.0
etherstar,3,0.33,0.4,0.1,4,0.4,416,1000.0
Satoshiverse - Satoshi's Legions - The Legionnaires,7,0.77,0.9,0.14,50,7.000000000000001,1345,5555.0
Product Drops,3,0.33,150.0,0.0,3,0.0,205,2.0
Crypto Packaged Goods,10,1.1,90.91,12.69,10,126.89999999999999,299,11.0
Lootmart,5,0.55,2.85,0.01,44,0.44,391,1544.0
The Blitnauts,8,0.88,0.61,2.5,9,22.5,555,1484.0
Defaced 'N' Friends,2,0.22,3.0,5.5,3,16.5,67,100.0
Sugar (Genesis),11,1.21,214.29,0.2,15,3.0,889,7.0
Blitmap,9,0.99,0.59,4.99,10,49.900000000000006,608,1700.0
PUNKS 2: BBA Collector's Edition,15,1.65,2.0,0.28,15,4.2,718,750.0
Peaceful Toadz,5,0.55,0.23,0.0,15,0.0,2018,6666.0
The Sad Cats,8,0.88,1.18,0.04,82,3.2800000000000002,2315,6954.0
CROAKZ by McGill!,19,2.09,0.7,0.13,49,6.37,3645,6996.0
NounPunks.eth,22,2.43,0.8,0.03,80,2.4,4160,9969.0
Game Disease,5,0.55,0.13,0.05,8,0.4,1912,6335.0
Melvin's Snacks,1,0.11,25.0,0.13,1,0.13,176,4.0
CreatureToadz,22,2.43,0.6,0.03,53,1.5899999999999999,4707,8888.0
Toucan Gang,4,0.44,0.12,0.06,9,0.54,2298,7815.0
The Alien UFO,4,0.44,0.69,0.03,21,0.63,1480,3063.0
The Alien Girl,3,0.33,0.59,0.05,18,0.9,1515,3070.0
The Forgotten Runes Infinity Veil,9,0.99,900.0,2.9,9,26.099999999999998,438,1.0
Dream Team NFT,7,0.77,0.17,0.0,17,0.0,5402,9999.0
The WynLambo,6,0.66,0.34,0.02,34,0.68,2735,9999.0
lootprints (for MoonCats),10,1.1,0.24,0.06,28,1.68,2333,11718.0
Tools for Apes,1,0.11,0.08,0.0,1,0.0,154,1333.0
Sad Frogs District,6,0.66,0.31,0.01,22,0.22,2201,6995.0
Skullx: Editions,4,0.44,200.0,0.06,4,0.24,257,2.0
Monster Worlds,1,0.11,2.08,0.02,1,0.02,28,48.0
The Wicked Stallions,9,0.99,0.21,0.01,21,0.21,3294,9814.0
Crypto Hodlers NFT,11,1.21,0.52,0.02,52,1.04,2174,10000.0
VOID - Visitors of Imma Degen,10,1.1,0.74,0.1,74,7.4,2883,9999.0
DERIVATIVE DRIP,2,0.22,12.5,0.004,2,0.008,181,16.0
HashDemons,10,1.1,1.01,0.01,67,0.67,1576,6666.0
The Alien Boy,8,0.88,0.86,0.16,86,13.76,3652,9993.0
RaMPunks,1,0.11,0.29,0.03,1,0.03,92,350.0
Ether Cards Founder,11,1.21,1.22,0.39,122,47.58,1501,10000.0
HashHoundz,1,0.11,0.14,0.03,1,0.03,240,701.0
m0xnsters,1,0.11,0.0,0.0,0,0.0,1,1.0
SAM PIERSON'S BRAIN DRAIN,1,0.11,10.64,0.05,5,0.25,218,47.0
lurk loves you,3,0.33,18.33,0.11,11,1.21,401,60.0
Champions Ascension,2,0.22,0.03,0.31,2,0.62,2677,7622.0
Commsaur,4,0.44,0.75,0.02,25,0.5,1170,3332.0
The JPEG Gallery,2,0.22,8.33,0.0,3,0.0,28,36.0
The Hair Diary,1,0.11,8.33,0.25,1,0.25,37,12.0
HUXLEY Robots,10,1.1,1.7,5.7,17,96.9,512,1000.0
Inside Out Alpha,1,0.11,100.0,0.025,1,0.025,3,1.0
The Billion APES,1,0.11,20.0,0.1,1,0.1,29,5.0
SUPERPLASTIC:  Headtripz Pillz,21,2.32,733.33,0.09,22,1.98,1904,3.0
Meta Meatball,1,0.11,9.09,0.01,1,0.01,3,11.0
Shades of Blue II,1,0.11,5.0,0.18,1,0.18,7,20.0
HPPR Hall Passes,3,0.33,75.0,0.18,3,0.54,351,4.0
Little Lemon Friends,15,1.65,0.55,0.22,55,12.1,5374,9999.0
Alpha Girl Club,15,1.65,0.39,0.15,38,5.7,5239,9860.0
Celebrity MAGAO,1,0.11,50.0,0.0,1,0.0,2,2.0
LORECORE,1,0.11,16.67,0.0,1,0.0,3,6.0
Future Proof Visions,1,0.11,4.24,0.69,5,3.4499999999999997,74,118.0
NFTihon S01,1,0.11,0.33,0.07,1,0.07,10,300.0
Sleepwalkers NFT,2,0.22,1.02,0.02,6,0.12,281,591.0
Sneaky Bat Syndicate,1,0.11,0.02,0.12,2,0.24,1436,8293.0
Aether Pilgrims,1,0.11,1.85,0.0,1,0.0,8,54.0
HUXLEY Comics,25,2.76,0.86,0.23,239,54.97,3578,27788.0
GAWDS,15,1.65,2.51,0.04,134,5.36,1510,5346.0
The Humanoids,11,1.21,0.15,0.18,15,2.6999999999999997,3858,10000.0
Bubu Emoji,1,0.11,6.25,0.01,1,0.01,50,16.0
FOOTYVERSE,1,0.11,1.03,0.1,8,0.8,65,779.0
Tunes Project,15,1.65,0.44,0.01,22,0.22,2240,4996.0
MetaHero Universe: Core Identities,1,0.11,1.39,111.0,1,111.0,23,72.0
MemeCalfNFT,10,1.1,0.84,0.03,10,0.3,334,1194.0
Punkettes,1,0.11,0.67,0.05,1,0.05,76,150.0
Luchadores.io,5,0.55,0.61,0.1,61,6.1000000000000005,2025,10000.0
PKG NFTs,1,0.11,25.0,1.0,1,1.0,4,4.0
Tiny Turtle,3,0.33,1.33,0.04,4,0.16,166,300.0
Bounty Games,4,0.44,1.62,0.02,39,0.78,801,2413.0
Wizards & Dragons Game (WnD),7,0.77,0.08,0.02,39,0.78,3475,46169.0
DeadHeads Skull Troopers,10,1.1,0.91,0.04,75,3.0,2107,8233.0
Rare Shoe,3,0.33,1.12,0.03,26,0.78,1028,2327.0
Resurrectables,3,0.33,100.0,0.01,4,0.04,403,4.0
DeadHeads Vessels,3,0.33,3.02,0.2,30,6.0,544,993.0
GENAI Official,3,0.33,2.62,0.11,21,2.31,485,803.0
Cyber Hornets Colony Club,3,0.33,0.83,0.08,74,5.92,2031,8888.0
Solon NFTs,3,0.33,1.13,0.23,23,5.29,683,2042.0
NFT RedZone,3,0.33,1.5,0.0,56,0.0,683,3734.0
Skill Stats (not for Weaks),15,1.65,0.53,0.0,31,0.0,2831,5862.0
GOATz,6,0.66,0.25,0.13,18,2.34,2745,7173.0
SKUL.,1,0.11,4.44,1.2,2,2.4,31,45.0
DeadHeads,19,2.09,0.67,0.14,67,9.38,2894,9999.0
NFT Worlds,25,2.76,1.43,8.75,143,1251.25,4557,10000.0
DrugReceipts,8,0.88,0.44,0.1,8,0.8,1561,1831.0
888 Inner Circle - Red Realm,5,0.55,0.46,0.04,7,0.28,876,1506.0
888 Inner Circle - Pink Realm,9,0.99,0.24,0.02,21,0.42,3907,8889.0
CryptoCitizens Mint Pack,3,0.33,6.0,12.0,3,36.0,21,50.0
Vortex by Jen Stark,27,2.98,3.3,0.34,33,11.22,598,1000.0
Crypto Citizens,27,2.98,1.67,1.25,48,60.0,1319,2878.0
urn: genesis collection,13,1.43,800.0,0.08,16,1.28,1728,2.0
HovercarsAnimetas,11,1.21,2.45,0.04,150,6.0,2127,6129.0
AnimeTracks,8,0.88,4.1,0.02,132,2.64,1287,3221.0
FEWOCiOUS x ComplexCon,2,0.22,200.0,0.8,2,1.6,263,1.0
Mad Rabbits Horror Show,2,0.22,0.15,0.04,2,0.08,1146,1373.0
Banana Hands,9,0.99,1.68,0.0,11,0.0,505,653.0
LushSux.io,15,1.65,0.7,0.02,31,0.62,2044,4436.0
FLUF World: Thingies,15,1.65,0.48,0.86,46,39.56,3024,9563.0
Impact Theory Founder's Key,24,2.65,1.1,0.1,166,16.6,5133,15089.0
Mad Rabbits Riot Club,6,0.66,0.2,0.1,15,1.5,2464,7500.0
AMALGAMATION V,1,0.11,100.0,2.3,1,2.3,48,1.0
Dissrup - Artworks,6,0.66,3.47,0.25,7,1.75,243,202.0
NFT Siblings Avatars,14,1.54,0.79,0.05,80,4.0,2810,10100.0
Animetas,19,2.09,1.45,0.17,146,24.82,4155,10101.0
Jake Fried: Maximum Effort,2,0.22,100.0,7.0,3,21.0,33,3.0
Artifex,14,1.54,2.21,0.08,76,6.08,702,3442.0
The Fungible by Pak,11,1.21,0.21,4.55,13,59.15,927,6302.0
Nyan Cat (Official),9,0.99,145.83,0.82,35,28.7,647,24.0
Wrapped CryptoCats Official,2,0.22,0.99,3.6,3,10.8,155,303.0
PolkaPets TCG,2,0.22,9.76,0.01,4,0.04,4489,41.0
Mad Dog Jones,5,0.55,0.36,1.4,6,8.399999999999999,347,1657.0
FEWOCiOUS,8,0.88,0.76,2.0,13,26.0,809,1705.0
Neon District,4,0.44,0.01,0.004,4,0.016,2441,46853.0
OPAL VOL_001,1,0.11,100.0,0.8,1,0.8,107,1.0
Psychedelics Anonymous Printing Press,12,1.32,0.2,0.79,14,11.06,4512,6859.0
Psychedelics Anonymous Component 2,12,1.32,0.22,1.44,14,20.16,4292,6497.0
Psychedelics Anonymous Component 1,13,1.43,0.19,0.69,18,12.419999999999998,5300,9584.0
XOiD Fleet 001,2,0.22,0.11,0.43,5,2.15,1502,4444.0
Bubki NFTs,1,0.11,0.65,0.2,2,0.4,167,306.0
witch of woe,1,0.11,16.67,0.0,1,0.0,4,6.0
MiamiHome,1,0.11,0.68,0.08,1,0.08,102,148.0
WizardsNouns,8,0.88,1.01,0.04,12,0.48,927,1185.0
Brkfst World,9,0.99,0.5,0.03,21,0.63,1744,4163.0
Oh My Gourd,2,0.22,1.8,0.05,2,0.1,98,111.0
Lyrics (for Tunes),1,0.11,0.66,0.1,1,0.1,81,152.0
Sequences (for Tunes),2,0.22,0.91,0.04,2,0.08,103,219.0
Artunist.ai x Tunes - First Edition Cover Art,2,0.22,0.19,0.0,2,0.0,469,1041.0
PissPunks,4,0.44,0.54,0.0,54,0.0,1853,9999.0
Spells (for Wizards and other Adventurers),2,0.22,0.7,0.0,19,0.0,588,2696.0
Yearn Finance,2,0.22,0.21,0.0,28,0.0,9950,13356.0
Zapper - Season 1 Edition,17,1.87,820.0,0.01,41,0.41000000000000003,56553,5.0
Most Common Words,1,0.11,0.0,0.0001,1,0.0001,33,25151.0
ethEra for Defi,2,0.22,1.1,0.5,2,1.0,168,181.0
Zora,11,1.21,0.37,0.09,29,2.61,4016,7864.0
Unlock,2,0.22,0.35,0.001,2,0.002,491,576.0
Stations by Fernando Jerez,18,1.98,3.11,0.03,28,0.84,541,900.0
The Noble Medici,14,1.54,1400.0,0.02,14,0.28,1417,1.0
NotLarvaLads,2,0.22,0.06,0.01,3,0.03,646,4999.0
p-deprecated,1,0.11,3.7,0.1,1,0.1,23,27.0
SUPERPLASTIC: OGs,6,0.66,1.01,0.1,14,1.4000000000000001,400,1384.0
Transitions by Jason Ting x Matt Bilfield,33,3.64,1.87,0.07,88,6.16,2414,4712.0
P:X by mightymoose,2,0.22,0.52,0.09,2,0.18,221,384.0
PREMINT Creator Pass,6,0.66,2.15,1.0,7,7.0,296,325.0
SergDickButts,3,0.33,0.61,0.03,3,0.09,252,491.0
ToadzWorld,6,0.66,0.59,0.0,25,0.0,876,4248.0
NFT Basket - PDpuyhEqew,1,0.11,100.0,0.0,1,0.0,1,1.0
NFT Basket - VKqmEpOhKs,1,0.11,100.0,0.0,1,0.0,1,1.0
Prob's Dickbutts,1,0.11,4.35,0.05,1,0.05,75,23.0
CryptoPolz,6,0.66,0.33,0.01,32,0.32,3216,9696.0
27-Bit Digital by kai,13,1.43,3.42,0.35,35,12.25,521,1024.0
THE SHIBOSHIS,3,0.33,0.04,0.73,4,2.92,3628,9998.0
HIDDEN IN NOISE,11,1.21,3.52,0.32,36,11.52,620,1024.0
with the light,9,0.99,18.18,2.69,18,48.42,64,99.0
CryptoDickbutts,17,1.87,0.92,1.05,48,50.400000000000006,1634,5200.0
The Vogu Collective,14,1.54,0.48,0.16,37,5.92,2846,7777.0
The Mop'eds,1,0.11,0.99,0.13,1,0.13,30,101.0
moonholders,5,0.55,180.0,4.0,9,36.0,36,5.0
Anatomy Shapes,1,0.11,2.22,0.02,1,0.02,168,45.0
NyanDogg,4,0.44,2.83,1.5,6,9.0,100,212.0
SHIBAS WOW!,2,0.22,1.24,0.07,2,0.14,60,161.0
Kenny Beats x Drew Pulig,1,0.11,0.23,0.1,1,0.1,52,426.0
Paul Jackson,1,0.11,0.25,0.1,2,0.2,58,797.0
"Plastikman ""Acid Drop - Sheet One""",2,0.22,40.0,0.65,2,1.3,74,5.0
WhIsBe,3,0.33,0.04,0.6,3,1.7999999999999998,311,6862.0
XCOPY,35,3.86,4.84,4.4,61,268.40000000000003,710,1260.0
Color Study by Jeff Davis,18,1.98,6.65,0.52,133,69.16,418,2000.0
Pulsar79,6,0.66,5.87,0.1,59,5.9,340,1005.0
Loveless City Metropass,5,0.55,0.15,0.28,5,1.4000000000000001,2625,3333.0
Satoshi Runners Official,4,0.44,0.06,0.15,5,0.75,4149,7777.0
Pixelmon - Generation 1,13,1.43,0.37,0.24,37,8.879999999999999,5401,10005.0
Yakuza Inc. Official,1,0.11,0.03,0.1,1,0.1,1846,3223.0
Planetary Property Association: Surrealestates,8,0.88,0.17,0.06,17,1.02,5378,10000.0
Apes-R-Us,3,0.33,0.08,0.08,7,0.56,3782,8424.0
Zipcy's SuperNormal,84,9.26,2.06,0.44,183,80.52,4648,8888.0
Killer GF,10,1.1,0.17,0.3,13,3.9,4178,7762.0
Planetary Property Association: Shuttle Passes,8,0.88,266.67,0.03,8,0.24,5854,3.0
Spritely - Honorary Collection,1,0.11,4.17,1.0,1,1.0,24,24.0
Waifu House DAO,2,0.22,0.57,0.18,3,0.54,252,528.0
My Pet Hooligan,9,0.99,0.15,0.9,13,11.700000000000001,5182,8888.0
Gunslingers Collection,6,0.66,0.13,0.04,10,0.4,3541,7777.0
Mecha Chaotic: Bedlam,4,0.44,0.19,0.02,7,0.14,1468,3619.0
DuskBreakers,13,1.43,1.27,0.21,127,26.669999999999998,2867,10000.0
Noundles Game,3,0.33,0.12,0.01,17,0.17,2567,14201.0
Kosium Pioneers,1,0.11,0.36,0.05,2,0.1,231,562.0
Noundles Theory - Legacy,7,0.77,0.19,0.0,19,0.0,3905,10066.0
The Bornless: Collection 1,1,0.11,0.15,0.13,1,0.13,250,666.0
Official Dormant Dragons,2,0.22,0.06,0.15,3,0.44999999999999996,1670,5000.0
Legend Maps: Founder Maps,11,1.21,0.3,0.16,17,2.72,1741,5757.0
Genetic Chain - Ikebana,4,0.44,0.33,0.02,4,0.08,1107,1213.0
Sipherian Flash,2,0.22,0.04,0.12,4,0.48,3811,10000.0
Stringify(door),5,0.55,0.13,0.0,10,0.0,3350,7500.0
Mystery Chests by Dr. DMT,4,0.44,0.09,0.0,7,0.0,4076,7799.0
Awakened - MultiPass,3,0.33,0.08,0.04,4,0.16,2146,5282.0
Genetic Chain - Geneticists Pass,4,0.44,0.9,0.14,4,0.56,380,443.0
The Family Mooks by Doodle Labs,27,2.98,1.29,0.06,46,2.76,1632,3559.0
Nightkids Fearless Token,15,1.65,1100.0,0.0,22,0.0,1959,2.0
The Dreamers,19,2.09,1.53,0.05,215,10.75,4212,14055.0
BAKENEKO COLLECTION I,1,0.11,1.75,0.12,1,0.12,81,57.0
uwucrew,6,0.66,0.16,0.23,15,3.45,4023,9670.0
Frontier Game,25,2.76,198.21,0.06,111,6.66,7345,56.0
Doge Pound Puppies,6,0.66,0.1,0.15,8,1.2,4767,8246.0
Jake's World Editions,13,1.43,266.67,0.47,32,15.04,223,12.0
Super Fat Academy,1,0.11,0.04,0.28,1,0.28,1367,2700.0
Fancy Honey Jars,1,0.11,0.01,0.12,1,0.12,2784,9915.0
Ethereal Apes (Official),1,0.11,0.15,0.07,5,0.35000000000000003,947,3332.0
FESQ Editions,1,0.11,100.0,0.15,1,0.15,13,1.0
Genesis Fat Academy,1,0.11,0.5,2.02,1,2.02,167,200.0
DonutShop,3,0.33,0.07,0.02,4,0.08,3528,5432.0
Dissrup - Collectibles,2,0.22,32.0,0.01,8,0.08,704,25.0
Dissrup x 33NFT,2,0.22,140.0,0.03,7,0.21,779,5.0
Le Anime by toomuchlag,3,0.33,0.44,0.05,37,1.85,926,8398.0
FancyBears Metaverse Official,4,0.44,0.05,0.62,4,2.48,3778,7888.0
8SIAN Main Collection,15,1.65,0.27,0.15,24,3.5999999999999996,4572,8888.0
StudioUno Norte,12,1.32,9.14,0.1,33,3.3000000000000003,230,361.0
Five Penguins,8,0.88,0.7,0.04,22,0.88,1200,3125.0
Zero Penguins,2,0.22,1.16,0.01,4,0.04,116,344.0
Digital Animals Soul Passes,5,0.55,62.5,0.01,5,0.05,1597,8.0
MidnightBreeze,22,2.43,0.89,0.32,62,19.84,3348,6969.0
PowerUp Membership Passes,2,0.22,66.67,0.01,2,0.02,965,3.0
AveragePunks,1,0.11,0.1,0.07,4,0.28,715,4200.0
Merry Modz,14,1.54,0.5,0.04,50,2.0,2939,10000.0
C.A.M.P.,7,0.77,0.57,0.01,12,0.12,1141,2098.0
Peopleeum,2,0.22,0.97,0.1,4,0.4,143,411.0
Cyber Hornets Colony Club (Queens Collection),1,0.11,1.14,0.69,1,0.69,49,88.0
LandVault Creation Game,4,0.44,0.35,0.02,7,0.14,689,1980.0
DOMAIN - ETHEREA,3,0.33,6.93,0.25,7,1.75,26,101.0
Croak V2,6,0.66,600.0,0.04,6,0.24,607,1.0
REMIX! Club,12,1.32,0.61,0.05,34,1.7000000000000002,2582,5550.0
GEVOLs,10,1.1,0.56,0.14,50,7.000000000000001,3654,8888.0
Nathan Head,2,0.22,2.2,0.49,2,0.98,75,91.0
House of Fingers,7,0.77,0.68,0.0,21,0.0,1248,3083.0
Chain Renegades,8,0.88,1.65,0.04,23,0.92,601,1391.0
GRAYCRAFT2,9,0.99,0.6,0.24,31,7.4399999999999995,1588,5200.0
Untamed Companions,2,0.22,0.06,1e-06,2,2e-06,1426,3592.0
Hyades,1,0.11,0.79,0.02,1,0.02,124,126.0
Great Ape Society,2,0.22,0.04,0.04,4,0.16,4514,10000.0
Fluffy Goodness!,4,0.44,4.42,0.15,8,1.2,100,181.0
InvertedInuCoterie,2,0.22,0.41,0.01,2,0.02,214,492.0
Star Dusts,6,0.66,0.8,0.08,8,0.64,623,999.0
Cybermon Official,2,0.22,0.32,0.04,3,0.12,339,927.0
blockfaces,1,0.11,0.4,0.0,2,0.0,160,497.0
Metaverse Punks,1,0.11,0.78,0.25,1,0.25,76,128.0
Sheeples,1,0.11,20.0,0.0,1,0.0,126,5.0
Nether X Numerals,1,0.11,66.67,0.07,6,0.42000000000000004,28,9.0
Bored Ape Yacht Express (BAYEX) - Timeless8 x Etherist,1,0.11,0.65,0.29,1,0.29,71,155.0
Untamed Elephants,7,0.77,0.16,0.01,12,0.12,3121,7500.0
Monster Rehab 1.0,5,0.55,0.22,0.02,12,0.24,1667,5365.0
Ascii Art NFT,1,0.11,1.19,0.0,1,0.0,43,84.0
Polymorphs,25,2.76,3.15,0.12,315,37.8,2229,10000.0
LandVault: Genesis,3,0.33,300.0,0.65,3,1.9500000000000002,207,1.0
Wen Rug Pull,2,0.22,0.21,0.004,6,0.024,577,2917.0
StartApes,1,0.11,14.29,0.0,1,0.0,7,7.0
Bored Gentlemen,2,0.22,20.0,0.01,2,0.02,336,10.0
Crypto Cockatoos,1,0.11,0.07,0.04,1,0.04,550,1423.0
Apymon Revolution,1,0.11,0.2,0.01,13,0.13,1493,6400.0
NFFT,2,0.22,0.09,0.1,8,0.8,728,9112.0
Gab's Beach Club,3,0.33,75.0,0.22,3,0.66,67,4.0
Tide Estates,4,0.44,80.0,0.55,4,2.2,176,5.0
Gavin Shapiro,2,0.22,0.19,0.08,2,0.16,184,1045.0
CryptoCrystal,9,0.99,0.29,0.06,29,1.74,2010,9994.0
Mythia: Origins,5,0.55,0.83,0.21,7,1.47,531,846.0
Ethereal Art - Asia Ladowska,3,0.33,0.12,0.1,6,0.6000000000000001,1907,4929.0
A0K1VERSE Passport,7,0.77,0.39,0.1,7,0.7000000000000001,1558,1816.0
Tentura by Stranger in the Q,1,0.11,2.08,0.21,1,0.21,40,48.0
GAS STATION COLLECTION,1,0.11,8.33,0.0,1,0.0,7,12.0
Spotlight by Joshua Bagley,15,1.65,5.44,0.09,34,3.06,368,625.0
//CWS. x Yanis | ethikdesign,2,0.22,100.0,0.05,3,0.15000000000000002,75,3.0
Liminals by Travis LeRoy Southworth,8,0.88,2.15,0.08,22,1.76,402,1024.0
Fernweh by oliveskin,5,0.55,6.9,0.2,6,1.2000000000000002,67,87.0
Two Mathematicians by BY MA,4,0.44,6.85,0.34,5,1.7000000000000002,48,73.0
Machine Comics by Roni Block,3,0.33,5.17,0.08,3,0.24,48,58.0
8SIAN Collectibles,2,0.22,66.67,0.01,2,0.02,685,3.0
Tokyo Trees,3,0.33,0.45,0.04,5,0.2,433,1120.0
Trippy Gelato Creamery: Production One,3,0.33,0.16,0.01,5,0.05,1259,3037.0
Miss Metaverse NFT,1,0.11,0.1,0.01,2,0.02,370,2000.0
Facets by conundrumer,4,0.44,3.4,0.12,5,0.6,107,147.0
Under the Milky Way V2,2,0.22,20.0,0.0,2,0.0,6,10.0
Netvrk Land,3,0.33,0.04,0.72,4,2.88,3810,9731.0
Galaxy-Warriors,6,0.66,0.87,0.06,87,5.22,4095,9999.0
Radix Art Social Club,2,0.22,7.69,0.0,2,0.0,26,26.0
Azar by Ger & MendezMendez,3,0.33,0.86,0.09,6,0.54,308,699.0
GTNP by Mario Suclla,2,0.22,12.5,0.0,2,0.0,4,16.0
Enchiridion by Generative Artworks,11,1.21,2.93,0.09,30,2.6999999999999997,578,1024.0
Rituals - Venice by Aaron Penne x Boreta,13,1.43,2.4,0.33,24,7.92,630,1000.0
Augmented Sequence by toiminto,7,0.77,1.37,0.03,14,0.42,640,1024.0
Lava Glow by JEANVASCRIPT,2,0.22,0.4,0.11,2,0.22,310,499.0
Aithérios by Jorge Ledezma,13,1.43,3.23,0.1,31,3.1,419,961.0
mono no aware by ixnayokay,8,0.88,3.38,0.09,14,1.26,227,414.0
Beauty of Skateboarding by JEANVASCRIPT,6,0.66,2.78,0.15,10,1.5,244,360.0
Paths by Darien Brito,11,1.21,5.54,0.17,29,4.930000000000001,313,523.0
ToriiScapes,1,0.11,0.14,0.02,1,0.02,372,719.0
Electriz by Che-Yu Wu,5,0.55,0.66,0.04,6,0.24,511,909.0
8SIAN VIP GOLD PASS,1,0.11,50.0,0.11,1,0.11,703,2.0
Neon Pantheon Genesis,5,0.55,0.79,0.15,7,1.05,466,888.0
//CreativeWorkStudios.,9,0.99,200.0,0.17,10,1.7000000000000002,964,5.0
Autology by steganon,13,1.43,2.15,0.3,22,6.6,646,1024.0
Quarantine by Owen Moore,2,0.22,2.34,0.17,3,0.51,104,128.0
Chainbunnies,1,0.11,0.02,0.08,1,0.08,915,6048.0
MetaGuardians: Villains,1,0.11,0.01,0.02,1,0.02,3081,10000.0
Low Poly Car Lab,1,0.11,18.18,0.09,2,0.18,4,11.0
Eccentrics by Radix,8,0.88,8.25,0.75,33,24.75,194,400.0
EnergySculpture by Beervangeer,8,0.88,7.05,0.3,26,7.8,204,369.0
Reflective Collective,1,0.11,1.35,0.02,4,0.08,134,297.0
The Evolving Forest Genesis,4,0.44,0.13,0.03,12,0.36,1473,9344.0
The Masks of Fear,1,0.11,4.55,0.15,1,0.15,16,22.0
Seadragons by Marcin Ignac,8,0.88,1.2,0.08,12,0.96,687,1000.0
Wixa,5,0.55,0.29,0.01,23,0.23,1409,7826.0
The Official Surreals,9,0.99,0.23,0.06,23,1.38,5065,10000.0
Promise Land,6,0.66,11.11,0.73,11,8.03,40,99.0
We by Vamoss,12,1.32,1.37,0.06,14,0.84,836,1024.0
Skulptuur by Piter Pasma,13,1.43,1.9,1.25,19,23.75,573,1000.0
Strange Islands,1,0.11,71.43,0.15,10,1.5,55,14.0
Sketcha,4,0.44,15.04,0.29,17,4.93,113,113.0
Galaxy-Eggs,11,1.21,0.61,0.16,61,9.76,4953,9999.0
infiniteness,1,0.11,1.85,0.04,1,0.04,21,54.0
Guardians of the Metaverse,3,0.33,0.04,0.07,4,0.28,4187,10000.0
CryptoPochi,6,0.66,1.23,0.45,9,4.05,433,732.0
Man & His Dog,1,0.11,3.7,0.005,1,0.005,3,27.0
Beautiful Decay,2,0.22,13.95,0.17,6,1.02,25,43.0
Maximum Lurkage,2,0.22,25.0,0.15,2,0.3,85,8.0
TRIPTCIP // CURATED,1,0.11,2.7,0.9,1,0.9,22,37.0
Super Secrets,2,0.22,40.0,0.05,2,0.1,79,5.0
