Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
GEVOLs,12,1,0.6,0.2,52,10.9,"3,630","8,888"
Cryptorastas Collection,12,1,0.3,0,29,0.8,"3,558","10,419"
Nice Drips,12,1,0.3,0,38,0.1,"3,047","11,111"
Purrnelopes Country Club,12,1,0.6,0.3,58,16.2,"3,017","10,000"
Top Dog Beach Club,12,1,0.6,0.1,51,5.3,"2,939","7,999"
GRILLZ GANG,12,1,0.4,0,22,0.6,"2,912","5,362"
VOID - Visitors of Imma Degen,12,1,0.8,0.1,80,10.8,"2,856","9,999"
HPPRS Collection,12,1,1.2,0.1,89,10.1,"2,816","7,207"
Kaiju Kingz,12,1,0.4,1.6,19,30.3,"2,754","4,767"
dotdotdots,12,1,0.5,0.2,26,4.9,"2,636","4,870"
Knights of Degen - Knights!,12,1,0.5,0.5,40,20.8,"2,616","8,857"
Lobby Lobsters,12,1,1,0,101,3.4,"2,516","10,000"
BaboonBet,12,1,1,0,102,0,"2,417","10,000"
Bufficorn Buidl Brigade,12,1,0.3,0.1,15,1.7,"2,277","4,758"
DeadHeads Skull Troopers,12,1,1.1,0.1,86,4.3,"2,247","8,100"
Cryptovoxels,12,1,0.9,1.4,59,82.5,"2,077","6,826"
Monster Blocks - Official,12,1,0.3,0,31,0.3,"2,059","9,028"
Bad Bunnies NFT,12,1,1,0.1,52,4.1,"1,929","5,500"
urn: genesis collection,12,1,,0.1,15,1.3,"1,755",2
Creepz Shapeshifterz,12,1,1.1,0.3,35,11,"1,590","3,170"
Ether Cards Founder,12,1,1.3,0.4,129,51.6,"1,536","10,000"
The Panels - Blocks,12,1,3.7,0,303,2.1,877,"8,291"
EpoStory by ART AI,12,1,1.7,0.3,23,8,792,"1,346"
Ouroboros by Shane Rich | raregonzo,12,1,1.6,0,16,0.5,767,"1,024"
Philosophical Foxes: The New Collection,12,1,3.8,0.5,49,22.1,665,"1,300"
Rituals - Venice by Aaron Penne x Boreta,12,1,2,0.6,20,11,627,"1,000"
Pop Wonder Editions,12,1,53.1,0.4,17,7.6,621,32
PunkBodies,12,1,1.7,0,42,0.6,596,"2,464"
Skulptuur by Piter Pasma,12,1,1.8,1.6,18,27.9,581,"1,000"
