Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Lucky Foo Dogs NFT,4,0,0.5,0,10,0,648,"2,000"
Buckets Club,4,0,0.8,1.1,8,8.8,638,"1,000"
Pixel Squids NFT,4,0,0.4,0,18,0,630,"5,000"
Mechanized Abstractions,4,0,0.3,0.1,4,0.2,621,"1,234"
Bloot Real Estate (not for Weaks),4,0,0.7,0,6,0,615,855
Charles-DAO,4,0,0.9,0,9,0,614,999
PrimiLife by wuwa,4,0,0.4,0.1,4,0.2,608,"1,024"
TheCryptoes,4,0,11.5,0,740,0.3,606,"6,441"
ENCODE Graphics,4,0,0.5,0.2,7,1.3,601,"1,465"
Surge by Morpheu5,4,0,0.5,0.1,4,0.6,598,888
Dystolab Crates,4,0,,0.1,4,0.3,594,1
Cryptinies,4,0,0.6,0,9,0,585,"1,615"
Synesthesia Collective,4,0,1.1,0,12,0,583,"1,110"
The Franks,4,0,0.4,0,14,0,581,"3,536"
3NTITY-8PIRIT Mint Pass,4,0,,0,6,0.1,561,3
XenoInfinity,4,0,1.6,0.1,41,2.3,555,"2,549"
Astraglade,4,0,0.6,0,4,0.1,548,721
8th Wonders by 8th Project,4,0,0.5,0.1,5,0.5,544,"1,111"
Minted Teddy,4,0,1.2,0.1,11,0.6,527,939
RELICS Tickets by Monstercat,4,0,0.6,0.2,9,2.2,525,"1,500"
CyberShrooms,4,0,0.6,0,6,0.1,520,999
Lore (for Adventurers),4,0,0.2,0,4,0,519,"1,987"
The X-Punks,4,0,2.1,0,70,0,517,"3,333"
High Tide by Artem Verkhovskiy x Andy Shaw,4,0,0.5,0,4,0.2,511,745
Tier Zero: Beasts,4,0,0.7,0,12,0,511,"1,619"
Labyrometry by Eliya Stein,4,0,0.5,0,4,0.2,510,800
The Trailers,4,0,1.4,0,16,0.8,509,"1,137"
ChainRings,4,0,0.7,0,7,0.1,509,"1,024"
Radioactive Punks,4,0,0.8,0,13,0.1,490,"1,605"
Generative Burger Club,4,0,1.9,0.1,23,1.2,485,"1,240"
Bird Guys,4,0,1.3,0,20,0.2,481,"1,599"
Avime S01,4,0,0.7,0,111,0,481,"15,420"
Che-Yu Wu x Nobody,4,0,1,0.1,11,0.9,479,"1,092"
//usr: Message v0,4,0,0.8,0.3,4,1,474,485
POTEnZA,4,0,1.1,0.1,13,0.9,474,"1,224"
seen.haus,4,0,20,0,37,0.5,461,185
Monsters  (for Adventurers with Maps),4,0,0.4,0,9,0,451,"2,331"
sjwBloot,4,0,0.9,0,6,0,448,705
Secret Frog,4,0,5.8,0,106,2.1,447,"1,844"
Tokyo Trees,4,0,0.6,0.1,6,0.4,443,"1,099"
Adult Fantasy: Season 1,4,0,0.4,0.1,8,0.6,421,"2,200"
Genetic Chain - Geneticists Pass,4,0,0.9,0.1,4,0.5,421,443
Land DAO Genesis,4,0,2.3,0,35,1,415,"1,497"
Nice Skunks,4,0,0.9,0,4,0.2,410,466
Mendel Genesis Odyssey,4,0,0.7,0.7,5,3.5,409,770
Ghozali One Day,4,0,1.5,0,40,0.1,409,"2,612"
Quarter Machine - PiRATE iSLAND,4,0,0.7,0.4,7,2.9,399,"1,001"
Grassetti's OS Collection,4,0,,1,11,11,398,10
OmniFusion,4,0,0.7,0,5,0.2,389,771
The CryptoPoops,4,0,0.4,0,6,0.3,382,"1,373"
Presessence Vol 1 - The Album,4,0,,0,28,0.5,375,7
Crypto Hipsters,4,0,0.8,0,8,0.2,373,"1,000"
Crazy Donkey Club,4,0,2.1,0,21,0,367,999
Stacked Monkeys,4,0,0.4,0,6,0,362,"1,515"
BIG BUCKS,4,0,0.8,0,7,0.1,355,888
Rotae by Nadieh Bremer,4,0,1.1,0.1,6,0.6,354,529
Spray Cans by Campbell La Pun,4,0,1.2,0,8,0.3,354,694
Bear Game Gen Y,4,0,0.3,0,8,0,350,"3,004"
Cheeky Chimps Club NFT,4,0,2.8,0.1,34,3.4,349,"1,212"
Invader Academy,4,0,5,0,40,0.1,347,801
Koi Boi NFT,4,0,1,0,16,0,346,"1,588"
Lian Faz X Budweiser Royalty,4,0,0.9,0,4,0.2,343,444
Forgotten Souls,4,0,1,4,6,24,340,591
OLD APE MAFIA CONTRACT --- DO NOT BUY,4,0,,0,4,0.1,338,1
Fast Food Punks,4,0,0.5,0.4,5,2,331,"1,000"
Hola Baddies,4,0,3.2,0,24,0,328,756
Pixel Planets by PixelGan,4,0,1.4,0,14,0.1,324,"1,000"
Showdeer,4,0,1.2,0.3,8,2.6,321,656
TIMEPieces x FOTO,4,0,,0.2,6,1,313,2
Diplo x FriendsWithYou,4,0,0.3,0.2,4,0.8,312,"1,326"
Azar by Ger & MendezMendez,4,0,2.9,0.1,20,1.8,310,699
Perseverance by Giorgio Balbi,4,0,1.2,0.2,6,1.3,308,500
Chromospheres,4,0,1.3,0,9,0.3,302,707
World Of Women Punks (OFFICIAL),4,0,1.7,0,26,0,302,"1,500"
bktr.io,4,0,7,0.1,75,7.5,300,"1,066"
Lumps World,4,0,1,0.7,5,3.3,279,500
SWAYILS,4,0,1.6,0.1,7,0.5,279,444
Meta Monsters | MM,4,0,2.4,0,36,0.2,279,"1,500"
Ghouls n GANs,4,0,1.1,0,7,0.1,277,666
Bored Ape Remix Club - by Dario De Siena,4,0,6,0.1,5,0.6,275,84
Wrapped Penguins,4,0,0.8,1.5,4,6,272,530
444(4) by Shvembldr,4,0,0.9,0.4,4,1.4,269,444
Secret Ape Club,4,0,2.2,0,12,0.3,267,559
CityDAO,4,0,,0,4,0,266,3
Wave Schematics by luxpris,4,0,1,0.2,4,0.9,265,400
say it back,4,0,2.5,0,23,0.2,265,918
Line Gardens,4,0,1.9,0,7,0.3,261,365
Skullx: Editions,4,0,,0.1,4,0.4,257,2
ChainPots,4,0,2.7,0,28,0,248,"1,024"
Animated Octo Garden,4,0,3.3,0.3,11,3.3,244,333
The Sentient Machine,4,0,1,0,5,0.2,231,512
META_GOATS,4,0,1.4,0.1,5,0.3,229,371
CrypTurtz,4,0,1,0,4,0,227,421
FIEDLERS MIN,4,0,19.2,0,5,0,223,26
EulerBeats Wearables,4,0,,0.1,4,0.4,220,1
Especial Orbs,4,0,1.5,0,4,0.1,217,266
ARTCODE Magazine,4,0,1.2,0.1,5,0.4,216,404
LandVault: Genesis,4,0,,0.4,4,1.6,213,1
0xmons,4,0,1.5,22,5,109.9,209,341
RTFKT Capsule  Space Drip 1.2,4,0,1.7,13.5,6,81,204,348
Mandala Tokens,4,0,1.5,0.1,5,0.7,202,346
MushyBaras,4,0,4.1,0,39,1,201,946
GREG MIKE,4,0,0.4,0.4,6,2.3,199,"1,683"
Nebula 41,4,0,2,0.1,5,0.6,199,245
1024 Pixels,4,0,2.2,0,10,0.1,196,463
Universal Poetry,4,0,2,0,4,0,195,196
Transmissions909,4,0,2,0.2,6,1.1,192,297
TR Lab X AI 2041,4,0,1.9,0.3,5,1.6,191,262
Origami Dream by k0ch,4,0,1.8,0.2,4,0.8,190,223
PrimiDance by wuwa,4,0,3.1,0.2,8,1.8,189,256
CryptoCubesExhibitions,4,0,,0.1,4,0.4,189,1
Unravelling: Consensus Heartbeats,4,0,2.9,0.2,9,1.3,184,315
OG Obey,4,0,80,0.7,4,2.7,183,5
LIMAH,4,0,1.5,0.1,5,0.5,180,334
"Dear Hash, by MODNAR WOLF",4,0,1.1,0.2,4,0.8,179,365
Cryptographics Art,4,0,2.8,0.1,12,0.7,164,435
Petra Cortright - Room,4,0,2.6,0.9,8,7.2,161,303
Shiny Magpies,4,0,8.5,0.8,4,3.2,161,47
Ornament by Jan Robert Leegte,4,0,2.3,0.2,6,1.3,159,256
MoonShotBots V3,4,0,3.5,3.9,7,27.2,158,203
Dawn Key,4,0,,0.4,4,1.7,152,1
Lenia NFT - Artificial Life collection,4,0,2.5,0.3,5,1.5,152,202
The 187 by IlluminatiNFT,4,0,2.7,5.8,5,29,140,187
The Opera by Luke Shannon,4,0,8.2,0.9,21,17.8,137,256
//CWS. x Michelle Thompson,4,0,,0.1,6,0.4,137,3
70s Pop Series Two by Daniel Catt,4,0,2.7,0.7,7,5.1,136,256
12 Points,4,0,1.2,0.1,4,0.4,135,333
Mystery NFT Box,4,0,1.5,0,4,0,133,265
I Love Me - By Amber Vittoria,4,0,6.2,0.1,13,0.8,130,210
Freehand by WAWAA,4,0,2.8,0.2,5,0.9,128,177
//CWS. x Ivona Tau,4,0,,0.1,7,0.7,125,6
When Merge,4,0,,0.3,13,3.3,120,11
CryptoGodKing by Steve Pikelny,4,0,2.2,1,4,4,119,180
Unencrypted Punks,4,0,0.8,0.1,5,0.3,117,641
The Impossible Creatures,4,0,6,0.4,16,6.2,114,266
Sketcha,4,0,15,0.3,17,4.9,113,113
EulerBeats Enigma,4,0,11.1,1.5,6,9,108,54
Planet Mint Pass,4,0,2.2,0.1,8,0.8,107,357
RTFKT Capsule  Space Drip,4,0,4,15,6,90,105,152
Sotofish,4,0,4.7,0.5,7,3.2,104,150
Whole Picture,4,0,2.2,0.3,5,1.7,104,226
Amber Vittoria's Gift Shop,4,0,40,0.2,6,1.1,100,15
Land DAO Devour,4,0,5.8,0,14,0.4,99,243
NyanDogg,4,0,2.8,1.3,6,8,97,212
NFTfolio,4,0,,0.1,4,0.3,96,3
Fluffy Goodness!,4,0,4.4,0.2,8,1.5,94,180
Non Fungible Tools Founding Membership,4,0,8,3.9,8,31.2,83,100
Sigils by espina,4,0,9,0.4,12,4.8,80,133
Memberships - Mirage Gallery,4,0,9.8,0.3,5,1.5,78,51
Mirage Gallery Curated,4,0,3.9,0.3,18,4.5,73,464
"TJ Thorne - The Ebb and Flow Collection - My Search For Serenity, As Told By Water - 100 1/1 NFTs",4,0,7,0.4,7,2.8,72,100
Mayhem Island Bananas,4,0,8,0.1,8,0.9,72,100
TOKEHANDS,4,0,5,0.3,5,1.3,69,100
TESSELLATION,4,0,85.7,0.2,6,0.9,66,7
Loot Items (for Adventurers),4,0,3.9,0,32,0.3,63,832
A Human in Times of Chaos,4,0,13.9,0.4,28,11.2,60,201
Patchwork Saguaros by Jake Rockland,4,0,6.9,4.2,5,21,55,72
Doodle de Programming,4,0,11.8,0.2,13,2,50,110
Ocean Intersection,4,0,20,0.9,10,9.4,36,50
Hidden-World,4,0,7.1,0.2,4,0.9,35,56
Bruce Gilden New York,4,0,16,0,8,0,35,50
"haute,kaleidr.acts.",4,0,11.1,1.5,4,6,33,36
THE AFRONAUTS,4,0,8.9,1.8,4,7,32,45
DEGENERATIVE by DEAFBEEF,4,0,12.9,4.5,11,49.5,30,85
Beach Boulevard,4,0,20,0.5,10,4.5,30,50
Monster Icons,4,0,14.3,5.5,5,27.5,28,35
Animated Nouns,4,0,11.8,0.5,6,3,23,51
Laguna Beach,4,0,7.8,0,4,0,16,51
True Ventures Stinson Beach,4,0,,0,4,0,16,1
Crabby Cats,4,0,5,0,5,0.1,13,101
Early Eccentrics,4,0,40,0,4,0,10,10
ranDUMBart by KevBro,4,0,92.2,0.1,47,4.7,6,51
Hashflow (Official),3,0,0,0,5,0.1,"20,544","30,042"
Yearn Finance,3,0,0.2,0,25,0.3,"9,920","13,298"
VISOR V3,3,0,0,0,3,0,"6,312","7,773"
Magic Mushroom Clubhouse,3,0,0.1,0.2,9,1.8,"5,846","9,200"
The Animoon,3,0,0.1,0.1,9,0.5,"5,514","9,999"
Fat Ape Club,3,0,0,0,4,0.2,"5,406","9,999"
Apes Of Space,3,0,0.1,0.1,9,0.6,"5,089","10,000"
Shiba Social Club Official Collection,3,0,0.1,0.1,5,0.6,"4,988","7,777"
The Royal Cubs,3,0,0.1,0.1,4,0.3,"4,983","8,888"
Great Ape Society,3,0,0.1,0.1,5,0.3,"4,454","10,000"
Arcona Digital Land,3,0,0,0,3,0.1,"4,288","14,180"
Guardians of the Metaverse,3,0,0,0.1,4,0.3,"4,264","10,000"
Party Ape Billionaire Club,3,0,0.1,0.1,5,0.7,"4,262","7,389"
AKC Pets,3,0,0,0,5,0.1,"4,193","11,999"
ETH TOWN,3,0,0,0,5,0.1,"4,161","11,487"
Slotie NFT,3,0,0.1,0.8,7,5.6,"4,123","9,945"
Secret Society of Whales,3,0,1,0.1,101,6.5,"4,102","10,000"
doodlefrens,3,0,0.1,0,5,0,"4,060","10,000"
SuperFarm Genesis Series,3,0,0,0.1,3,0.2,"4,016","6,957"
Save the Martians,3,0,0.1,0,10,0.1,"4,000","14,226"
Hor1zon Troopers,3,0,0.1,0,5,0.1,"3,999","6,999"
Lil' Heroes by Edgar Plans,3,0,0.1,0.8,11,8.7,"3,982","7,777"
Cunning Foxes,3,0,0,0,3,0.1,"3,916","8,864"
Space Dinos Club,3,0,0.2,0,14,0.5,"3,911","9,518"
Sipherian Flash,3,0,0.1,0.2,5,1,"3,834","10,000"
Al Cabones,3,0,0.1,0,5,0.1,"3,740","10,000"
Wall St Bulls,3,0,0,0.1,3,0.4,"3,727","10,000"
Zombie Frens,3,0,0.1,0,8,0.2,"3,628","9,172"
THE SHIBOSHIS,3,0,0,0.8,4,3.2,"3,573","9,998"
PugFrens,3,0,0.7,0,63,0.5,"3,564","8,787"
Apocalyptic Apes,3,0,0.1,0.5,4,2,"3,462","8,888"
Netvrk Land,3,0,0.1,0.7,6,4.2,"3,451","9,097"
Doodle Dogs NFT Official,3,0,0.2,0,16,0.3,"3,442","10,000"
Ninja Squad Official,3,0,0.1,0.2,11,2.3,"3,208","8,888"
Metasaurs Punks by Dr. DMT,3,0,0.1,0,14,0.5,"3,182","11,117"
Lazy Bunny NFT,3,0,0.2,0.2,10,1.7,"3,177","5,555"
Lucha Libre Knockout,3,0,0.1,0,14,0.3,"3,156","10,000"
Raccoon Secret Society,3,0,0.1,0,6,0,"3,114","10,000"
GalaXY Kats Universe,3,0,0.9,0,91,4.5,"3,071","10,000"
Swipa The Fox,3,0,0.2,0,14,0.5,"2,996","6,005"
ORCZ!,3,0,0.1,0,5,0,"2,918","8,793"
ShogunSamurais,3,0,0.1,0,5,0,"2,880","7,470"
The Alien Doogle,3,0,0.2,0,13,0.3,"2,824","7,727"
Paladin Pandas,3,0,0.1,0.1,8,0.8,"2,806","9,849"
Baby Llama Club,3,0,0.2,0,16,0.2,"2,806","7,777"
Cypher City,3,0,0,0,3,0,"2,736","8,886"
Noundles Game,3,0,0.1,0,16,0.1,"2,517","11,772"
Based Fish Mafia,3,0,0.1,0.1,6,0.4,"2,505","10,000"
Misfit University Official,3,0,0,0,4,0,"2,502","10,000"
Plodding Pirates : Plunder,3,0,0.1,0,3,0,"2,499","4,000"
HalloweenBears,3,0,0.1,0,8,0,"2,489","10,000"
Rare Ghost Club (RGC),3,0,0.2,0.1,10,0.5,"2,484","5,006"
ZenApe,3,0,0.1,0.3,6,1.8,"2,483","5,000"
The ApeDads,3,0,0.2,0.1,7,0.4,"2,453","4,000"
Chads NFT,3,0,0.1,0,6,0,"2,352","10,000"
Skeletongues,3,0,0.1,0.1,5,0.3,"2,286","5,098"
Influence Asteroids,3,0,0.1,0,16,0.4,"2,264","11,126"
CryptoBots,3,0,0.1,0.2,7,1.3,"2,260","9,983"
DeadPunks Official,3,0,0.1,0,14,0,"2,260","10,000"
Ape Gang,3,0,0.1,0.2,10,2.4,"2,256","7,265"
DOODLE ROOMS,3,0,0,0,3,0.1,"2,214","9,998"
Grandpa Ape Country Club,3,0,0.1,0.3,4,1.2,"2,213","5,000"
Ultra Miners,3,0,0.2,0.9,8,7.1,"2,210","4,445"
Awakened - MultiPass,3,0,0.1,0,4,0.2,"2,179","5,313"
FlipToadz,3,0,0.2,0,16,0,"2,175","6,969"
Cryptowalkers-Official,3,0,0.2,0.5,12,5.4,"2,146","6,545"
Dizzy Dragons,3,0,0.1,0.1,6,0.3,"2,143","5,593"
Cute Pig Club,3,0,0.2,0,15,0,"2,135","10,000"
Naughty Tigers Costume Club,3,0,0.1,0,9,0,"2,129","10,000"
Rainbow Cats NFT,3,0,0.3,0,17,0,"2,105","5,001"
Eternal Royals Official,3,0,0.1,0,8,0.2,"2,093","9,224"
The BirdHouse,3,0,0.2,0,13,0.1,"2,051","6,000"
Cyber Hornets Colony Club,3,0,0.8,0,75,3.4,"2,035","8,888"
Tokenmon,3,0,0.4,0,40,0,"2,026","10,419"
GFC Genesis Gear Collection(DO NOT BUY),3,0,,0,3,0,"1,955",1
The Habibiz,3,0,0.1,0.7,6,4.1,"1,936","4,900"
Outlaw Gals MC,3,0,0.2,0,14,0.4,"1,885","6,000"
ape mfers,3,0,0.2,0.1,15,1.3,"1,874","8,888"
Kuddle Koalas,3,0,0.6,0,48,0,"1,852","7,497"
Bored Bananas,3,0,0.3,0.1,10,0.7,"1,836","4,027"
FIVES GENESIS DNA,3,0,0.1,0,5,0.1,"1,785","7,954"
Schroot_Moved_To_Polygon_Go_There_2_Buy_or_Sell,3,0,0.2,0,19,0,"1,775","8,336"
Editional,3,0,0,0,6,0,"1,754","81,835"
Mini Monkey Mafia,3,0,0.1,0,7,0,"1,740","5,000"
SLOTHz,3,0,0.2,0,8,0.1,"1,721","5,127"
Hedgies,3,0,0.4,1.5,9,13.4,"1,707","2,443"
AnonymiceBreeding,3,0,0.2,0.5,8,4.2,"1,706","3,550"
DystoLabs: DystoMice,3,0,0.1,0,7,0.1,"1,706","7,926"
Ape Gang Old,3,0,0.1,0.2,7,1.5,"1,705","10,000"
Diamond Crypto Dunks,3,0,0.1,0.1,5,0.7,"1,705","4,200"
Squarmies,3,0,0.9,0,32,0.9,"1,689","3,458"
PyMons,3,0,0.2,0,21,0,"1,673","11,111"
MonkeVerse,3,0,0.1,0,3,0.1,"1,651","3,333"
The Red Village Blood Portal,3,0,,0.2,3,0.5,"1,637",1
Floyds World,3,0,0.1,0,7,0.1,"1,637","9,943"
Pudgy Pixel Penguins,3,0,0.1,0,3,0,"1,621","4,444"
Space Loot,3,0,0.1,0,7,0,"1,607","8,000"
Froggies Beginnings,3,0,0.2,0,8,0,"1,583","4,096"
Lucky Sloths NFT,3,0,0.1,0,3,0.1,"1,542","2,700"
Red Panda NFT,3,0,0.1,0,14,0,"1,508","10,000"
GENESIS LUCKY PANDA,3,0,0.1,0,7,0,"1,472","6,937"
SMOL KONGZ,3,0,2.2,0,215,0.2,"1,470","10,000"
Doge Battle,3,0,0.4,0,26,0,"1,454","6,969"
The Alien Girl,3,0,0.7,0.1,18,1.7,"1,447","2,755"
UAE NFT - From Desert To Mars | Kaiwan Shaban,3,0,,0,3,0,"1,436",1
The CryptoCards Collection (2018),3,0,9.4,0.2,6,1,"1,427",64
SMC Symbol MakotoKobayashi,3,0,0.1,0,3,0,"1,415","2,268"
Persona Lamps,3,0,0.1,0.1,4,0.4,"1,407","4,443"
Punkachus,3,0,0.3,0,8,0,"1,407","2,900"
Moongang,3,0,0.2,0,10,0.1,"1,401","4,525"
Gold Hunt Game,3,0,0,0,13,0,"1,396","40,001"
Goofball Gang,3,0,0.2,0,7,0.3,"1,394","3,398"
Chunky Cow Club Tour (Official),3,0,0.5,0,24,0,"1,374","5,000"
UAE NFT - From Desert To Mars | Anantha Krishnan Nadamel,3,0,,0,3,0,"1,366",1
MirrorWorld,3,0,0.1,0,3,0.1,"1,362","6,455"
Fan Controlled Football: The Ballerz Collective - Knights,3,0,0.4,0.1,17,1.8,"1,359","4,333"
Regenz,3,0,0.1,0,9,0,"1,355","7,916"
CryptoFighters,3,0,0.1,0.3,6,1.6,"1,338","4,953"
Ikuza NFT,3,0,0.7,0,65,0.1,"1,334","10,000"
DNA Cultura NFTs,3,0,0.4,0,24,0,"1,321","5,555"
Daiju-Kingz,3,0,2.2,0,125,0.6,"1,311","5,583"
Drunk Ass Dinos,3,0,0.1,0,6,0,"1,310","10,000"
Trippy Gelato Creamery: Production One,3,0,0.2,0,5,0,"1,297","3,037"
Gator World NFT,3,0,0.2,0,7,0.1,"1,283","3,010"
PlebPunks,3,0,0.3,0,7,0.2,"1,276","2,626"
Long Neckie Fellas,3,0,0.5,0.1,16,1.4,"1,268","3,333"
Genetic Chain - Chain Gang Pass,3,0,0.2,0.1,3,0.2,"1,239","1,284"
256ART,3,0,0.9,0,38,0,"1,239","4,096"
Passive Apes,3,0,0.1,0,5,0,"1,238","4,500"
Incrementum,3,0,0.2,0,6,0,"1,225","4,000"
Nobody .,3,0,0.2,0,7,0.2,"1,211","3,210"
Sirens of the Sea NFT,3,0,0.3,0,7,0.1,"1,206","2,691"
Crypto Alien Punk v1,3,0,0.2,0,20,0.1,"1,193","10,000"
Low effort Punks,3,0,0.2,0,9,0.2,"1,184","4,523"
Footium Football Club V2,3,0,0.1,0.3,4,1.2,"1,183","2,979"
Doodle Apes Society (D.A.S),3,0,0.2,0,5,0,"1,181","2,501"
NuBloom Fractal,3,0,0.1,0,5,0,"1,172","8,918"
Party Polar Bears,3,0,0.4,0,13,0,"1,165","3,499"
Picks Passport,3,0,,0.7,3,2.1,"1,154",1
Borpacasso,3,0,0.9,0.1,21,1.9,"1,150","2,250"
AmongEm,3,0,0.7,0,32,0,"1,139","4,444"
DO NOT BUY - ONLY BUY FROM OUR POLYGON LISTING,3,0,0.2,0,15,0,"1,137","7,517"
Potato Power Club,3,0,0.1,0,3,0,"1,132","4,329"
Cuddle Bears Daycare,3,0,0.6,0,29,0,"1,131","4,888"
Trash Pandas of the World,3,0,0.1,0,7,0,"1,131","5,897"
MetaZoo Games Tokens,3,0,0.2,0.4,4,1.6,"1,126","2,304"
Jail Turtles,3,0,0.2,0,5,0,"1,118","2,498"
Non-Fungible Soup,3,0,0.2,0.1,3,0.3,"1,098","2,048"
Fox Game Official,3,0,0.1,0,10,0,"1,070","18,538"
DeusX,3,0,0.2,0,5,0.1,"1,056","2,293"
Delectables by Foodmasku,3,0,0.5,0,10,0.4,"1,035","2,000"
NOOBS NFT,3,0,0.8,0,43,0.4,"1,030","5,168"
The Aping Dead,3,0,1.1,0,26,0,"1,024","2,424"
The Pirates NFT,3,0,0.7,0,27,0,"1,016","4,000"
DIGITZ GENESIS COLLECTION,3,0,1.2,0.2,27,4.6,"1,007","2,182"
Wrapped Pixereum,3,0,0.2,0.1,4,0.4,"1,005","2,530"
Angry Ape Army Weapons,3,0,1.2,0.1,37,1.9,"1,003","3,097"
GLICPIXXXVER002 - GRAND COLLECTION,3,0,0.2,0,11,0.2,"1,003","5,157"
Cash Grab NFT,3,0,0.1,0,6,0,"1,003","5,608"
Blockheads Family,3,0,0.2,0,7,0.1,999,"3,938"
Greyscale Punks,3,0,0.8,0,20,0,998,"2,501"
Mars Cats in Spacesuits,3,0,0.6,0,11,0.3,983,"1,785"
Pudgy Ape Fridge Club,3,0,0.9,0,29,0.7,980,"3,333"
Mooncake Gift,3,0,0.2,0,3,0,965,"1,508"
Etholvants,3,0,0.1,0,8,0.3,960,"9,145"
Starchain Official,3,0,0,0,4,0,958,"10,003"
Cool Monkes Genesis,3,0,0,0.7,3,2.1,957,"9,999"
Dark Zodiac NFTs,3,0,1,0,38,0.1,952,"3,876"
Mandelbrot Set Collection,3,0,0.2,0.1,3,0.2,948,"1,978"
Pranksy Rock,3,0,,0.1,3,0.3,944,1
Alto city,3,0,0.4,0,15,0.1,943,"4,282"
Woodles V2,3,0,1.7,0,120,0,933,"6,969"
Party Skulls,3,0,0.3,0,3,0,928,"1,001"
Uniqly Collections,3,0,0.3,0.1,6,0.3,926,"1,833"
Bear Game NFT,3,0,0.1,0,10,0.1,921,"10,498"
Julia Set Collection,3,0,0.1,0,6,0,918,"4,200"
Baby Duck Pond,3,0,0.6,0,15,0,916,"2,395"
Le Anime by toomuchlag,3,0,0.5,0.1,37,2.9,897,"7,626"
The Ghost of Frank Dukes,3,0,0.2,0.1,4,0.3,895,"1,924"
CoolKidsNextGen,3,0,0.6,0,30,0,891,"5,000"
Hexo Codes,3,0,0.2,0,8,0,874,"3,333"
Heroes - WAIWBTNArP,3,0,0.3,0,3,0.1,868,970
Ben Baller BlockChains,3,0,0.1,0,6,0.1,859,"6,014"
STARCATS NFT,3,0,0.5,0.3,7,1.9,854,"1,512"
Genetically Spliced Ape Labs,3,0,0.3,0,6,0,844,"2,042"
"""I'm Spottie""",3,0,0.4,0.1,7,0.5,835,"2,003"
Blootavatars,3,0,0.6,0,10,0,829,"1,658"
MoreOrLess,3,0,0.3,0,3,0,828,"1,001"
CyberPunkA12,3,0,0.4,0,12,0.1,822,"3,366"
Piece of 3.141,3,0,0.3,0,9,0,810,"3,141"
[LEGACY COLLECTION] Chibi Legends of the Warring Kingdoms,3,0,0.3,0,16,0.4,794,"5,555"
BOIDS NFT,3,0,1.3,0,25,0,789,"2,000"
Wrapped MoonCatsRescue - Unofficial,3,0,0.2,0.6,4,2.4,781,"1,674"
AlienPunks NFT,3,0,1,0,18,0.1,779,"1,896"
The Meta Rich Collection,3,0,0.2,0,3,0,775,"1,232"
Banquets,3,0,0.2,0,6,0,767,"2,933"
Dogs Unchained - Proof of Steak,3,0,0.2,0,3,0,762,"1,405"
Fantasy Football NFT,3,0,0.3,0,31,0,758,"10,000"
Air Mail by Vinnie Hager,3,0,75,0.1,3,0.3,751,4
Skullx: Aeons,3,0,0.2,0.1,3,0.4,750,"2,000"
Lil Mutant Apes Club,3,0,0.4,0,5,0.1,749,"1,333"
Token 2476,3,0,,0,3,0.1,747,1
lil fks,3,0,0.4,0,7,0.1,737,"1,969"
Genesis isoroom,3,0,0.2,0.3,7,1.8,733,"3,000"
Prima Donna by Dario De Siena,3,0,0.4,0,6,0.1,724,"1,736"
Spherical Harmonics V1,3,0,0.2,0,4,0,716,"1,789"
Mutant Ape Race Series,3,0,0.3,0,5,0.2,708,"1,978"
KittySupercars,3,0,0.4,0,6,0,705,"1,526"
GOAT KIDz,3,0,0.6,0.1,15,1.5,703,"2,370"
Evil Elves Club,3,0,0.4,0,7,0,701,"1,926"
The House Game,3,0,0.5,0,14,0.5,699,"2,749"
Colorverse Tokens RGB,3,0,0.5,0,18,0.2,699,"3,806"
NOT A RUG,3,0,0.2,0,9,0,699,"5,000"
Afterlife ID,3,0,0.2,0.1,3,0.2,695,"1,512"
FOREVERLANDS Explorer,3,0,,0.1,3,0.3,688,1
Solon NFTs,3,0,1.1,0.3,23,7.9,687,"2,043"
PixelClouds,3,0,0.3,0,4,0.1,684,"1,200"
FOREVERLANDS Early Supporter,3,0,,0.2,3,0.6,682,1
Dr. Cool's Cat Lab,3,0,0.3,0,8,0,672,"2,425"
Wojak Kingdom,3,0,0.1,0,3,0,659,"4,263"
GhostSoftware CD-ROM,3,0,0.5,0,3,0.1,644,651
BlockCities,3,0,0.6,0.1,20,2,632,"3,232"
The Weeknd x Strangeloop Studios,3,0,0.1,0.1,3,0.3,630,"3,766"
mannys.game,3,0,0.3,0.1,5,0.4,623,"1,616"
Slimes World,3,0,1.5,0.8,15,11.3,621,"1,000"
Metroverse,3,0,0,1,3,3,618,"10,000"
Larva-Ladies,3,0,0.8,0,19,0,615,"2,390"
Kuroro Ferry Tickets,3,0,,1,3,2.9,602,1
Nerdy Nuggets,3,0,0.4,0,7,0,601,"1,582"
Foes (against Adventurers),3,0,0.1,0,3,0,597,"2,109"
PoodleDunk,3,0,1.6,0,29,0.8,595,"1,775"
TinyBoxes,3,0,0.4,0.1,6,0.4,589,"1,487"
Flat-n,3,0,0.3,0,3,0,574,"1,027"
Lion and Zebra,3,0,1.1,0,59,0,572,"5,281"
Astrohedz,3,0,1.1,0,23,0.1,570,"2,024"
Spells (for Wizards and other Adventurers),3,0,0.8,0,20,0,569,"2,654"
ETH-MEN RELOADED,3,0,4.9,0,3,0.1,566,61
Wen Rug Pull,3,0,0.3,0,7,0,563,"2,850"
MaskDAO Word on the Street,3,0,0.4,0,3,0,556,754
